Latitude,Longitude
23.56087993,87.28386822
23.55941146,87.28472486
23.55561312,87.28554798
23.55386124,87.28647572
23.55247571,87.28704972
23.55119384,87.28602042
23.55005188,87.28515498
23.54819878,87.28365987
23.54524842,87.28129974
23.54453642,87.28282814
23.54297979,87.2872546
23.54423801,87.28811681
23.54167796,87.28987733
23.53916408,87.29318138
23.53898312,87.29470342
23.53777581,87.29679524
23.53575012,87.29748374
23.52722198,87.31118444
23.51961638,87.31134396
23.51160875,87.31061834
23.50710989,87.30988209
23.50362896,87.30777677
23.50028882,87.30607035
23.4964703,87.31366647
23.49469386,87.31687799
23.49471008,87.31699141
23.49320866,87.31643745
23.49633101,87.31373774
23.50029568,87.30586601
23.50322107,87.30746845
23.50426426,87.30816503
23.51181651,87.31059006
23.5198336,87.31119591
23.52831251,87.31119007
23.53321597,87.3065011
23.53683653,87.30153599
23.53513681,87.29784925
23.53771142,87.29670549
23.53878878,87.29487424
23.53912347,87.29315596
23.54192789,87.28973901
23.54415651,87.28807897
23.54443782,87.28285678
23.54529303,87.28125296
23.54694405,87.28255933
23.54798002,87.2833887
23.55005833,87.28503922
23.55122582,87.28598304
23.55248702,87.28704521
23.55391625,87.2863592
23.55569605,87.28557586
23.55939141,87.28451824
23.56401702,87.28329682
